NAME,TYPE,LAT,LON,ELEV,STATUS,LOCATION,NUMBER
Maruyama,Stratovolcanoes,43.418,143.031,2013,Active,Hokkaidō,285061
Kuttara,Stratovolcanoes,42.491,141.16,549,Active,Hokkaidō,285034
Kurose Hole,Submarine,33.4,139.68,-107,Extinct,Izu Islands,284042
Kuchinoerabujima,Stratovolcanoes,30.443,130.217,657,Active,Nansei Islands,282050
Kita-Ioto,Stratovolcano,25.424,141.284,792,Extinct,Ogasawara Archipelago,284110
Kita-Fukutokutai,Submarine,24.417,141.47,-73,Active,Ogasawara Archipelago,284121
Kikai,Caldera,30.793,130.305,704,Active,Nansei Islands,282060
Kaitoku Seamount,Submarine,26.127,141.102,-95,Active,Ogasawara Archipelago,284100
Kaikata Seamount,Submarine,26.667,140.929,-165,Active,Ogasawara Archipelago,284097
Iwakisan,Stratovolcano,40.656,140.303,1625,Active,Honshū,283270
Io-Torishima,Andesitics,27.881,128.223,212,Active,Nansei Islands,282020
Hokkaido-Komagatake,Stratovolcano,42.063,140.677,1131,Active,Hokkaidō,285020
Hijiori,Caldera,38.599,140.162,552,Active,Honshū,283191
Harunasan,Stratovolcano,36.477,138.851,1449,Active,Honshū,283122
Hakoneyama,Calderas,35.233,139.021,1438,Active,Honshū,283020
Hakkodasan,Stratovolcanoes,40.659,140.877,1585,Active,Honshū,283280
Hachimantai,Stratovolcano,39.958,140.854,1613,Active,Honshū,283250
Fukue,Shields,32.657,128.849,315,Active,Kyūshū,282091
Doyo Seamount,Submarine,27.68,140.8,-590,Active,Ogasawara Archipelago,284095
Asamayama,Complex,36.406,138.523,2568,Active,Honshū,283110
Aogashima,Stratovolcano,32.458,139.759,423,Active,Izu Islands,284060
Akita-Yakeyama,Stratovolcano,39.964,140.757,1366,Active,Honshū,283260
